idx,file,path,ext,bytes,sha16,width,height,ratio,bucket
93,5cfa40729e3c636e.png,dist/assets/pptx-media/5cfa40729e3c636e.png,png,17041,a4edaec6a1dd8b99,425,199,2.136,logo-candidate
94,5cfef117c6af51ea.png,dist/assets/pptx-media/5cfef117c6af51ea.png,png,1573,0703b156bb23036c,96,96,1.0,icon-candidate
95,5ee37433a8567767.png,dist/assets/pptx-media/5ee37433a8567767.png,png,709863,5aec626edc683ae6,2660,867,3.068,other-candidate
96,5f59bdda82f52155.png,dist/assets/pptx-media/5f59bdda82f52155.png,png,145848,2508c42d5681b232,370,371,0.997,large-icon-or-logo-candidate
97,5fce6b7a20086ded.png,dist/assets/pptx-media/5fce6b7a20086ded.png,png,929690,0c20ec120bd92272,1323,780,1.696,other-candidate
98,6094a3077e72335d.png,dist/assets/pptx-media/6094a3077e72335d.png,png,45874,558cce60d8fefa51,2000,417,4.796,logo-candidate
99,6126b2089946ea7d.png,dist/assets/pptx-media/6126b2089946ea7d.png,png,1288,880295c116527314,96,96,1.0,icon-candidate
100,628b9ff97a86d46e.png,dist/assets/pptx-media/628b9ff97a86d46e.png,png,93045,beb4f540b9870c58,1511,417,3.624,logo-candidate
101,62974cee3c7526b4.png,dist/assets/pptx-media/62974cee3c7526b4.png,png,1637,164ef826cf40a484,96,96,1.0,icon-candidate
102,629a9a311157f43c.png,dist/assets/pptx-media/629a9a311157f43c.png,png,23784,d7c413222cfcc715,1722,418,4.12,logo-candidate
103,629b68634a5b28df.png,dist/assets/pptx-media/629b68634a5b28df.png,png,26474,1dbfedea63507697,788,788,1.0,large-icon-or-logo-candidate
104,64a5ca2b4a3aab78.png,dist/assets/pptx-media/64a5ca2b4a3aab78.png,png,21153,15d13e242d3fabe6,888,236,3.763,logo-candidate
105,65d2f061d654acae.png,dist/assets/pptx-media/65d2f061d654acae.png,png,40952,9a53dbba11028129,2620,418,6.268,logo-candidate
106,6646fc17314ef42a.png,dist/assets/pptx-media/6646fc17314ef42a.png,png,26704,a37db9d8acbd7f42,2192,417,5.257,logo-candidate
107,66e4e414512b5574.png,dist/assets/pptx-media/66e4e414512b5574.png,png,93064,ab4911ca53a3eae4,864,7067,0.122,other-candidate
108,6763ff489114bf3c.png,dist/assets/pptx-media/6763ff489114bf3c.png,png,26912,ac81828c56dc3772,1932,418,4.622,logo-candidate
109,67a250c510052d8f.png,dist/assets/pptx-media/67a250c510052d8f.png,png,1933,e5f5ff624da6f8e0,96,96,1.0,icon-candidate
110,686657b7b77dbe4b.png,dist/assets/pptx-media/686657b7b77dbe4b.png,png,2348840,d349b56f1e8fb251,4782,2736,1.748,other-candidate
111,68c87366f3f2c0f1.png,dist/assets/pptx-media/68c87366f3f2c0f1.png,png,55894,2b944016d1fa72e8,1983,417,4.755,logo-candidate
112,693432e14452ee90.png,dist/assets/pptx-media/693432e14452ee90.png,png,34351,7e732a21f3ae6f52,808,720,1.122,large-icon-or-logo-candidate
113,6ab41e23adc6772b.png,dist/assets/pptx-media/6ab41e23adc6772b.png,png,2931222,48012bca6615dc4f,3359,2099,1.6,other-candidate
114,6ab74fdce2f432a7.png,dist/assets/pptx-media/6ab74fdce2f432a7.png,png,1480,a33c521b4514856c,96,96,1.0,icon-candidate
115,6c091d7547925fae.png,dist/assets/pptx-media/6c091d7547925fae.png,png,686378,72654dbf29759520,2589,1009,2.566,other-candidate
116,6d6a6910c1536ee0.png,dist/assets/pptx-media/6d6a6910c1536ee0.png,png,3349,e14c737f8bd7e27e,22,2475,0.009,other-candidate
117,6d89be707e8e87dd.png,dist/assets/pptx-media/6d89be707e8e87dd.png,png,32365,4a3d9a87875210d0,788,788,1.0,large-icon-or-logo-candidate
118,70261b4ec331edb9.png,dist/assets/pptx-media/70261b4ec331edb9.png,png,29582,f00e7c9929ec438e,788,788,1.0,large-icon-or-logo-candidate
119,70f40590943bfa16.png,dist/assets/pptx-media/70f40590943bfa16.png,png,24613,f80ac00dcd675c4b,580,580,1.0,large-icon-or-logo-candidate
120,71440ab9c990dcce.png,dist/assets/pptx-media/71440ab9c990dcce.png,png,2472,2ba60619e73a3b14,600,300,2.0,other-candidate
121,727edf778ae14b93.png,dist/assets/pptx-media/727edf778ae14b93.png,png,34763,d30a34287bd90206,1688,417,4.048,logo-candidate
122,728284ddb37d8746.png,dist/assets/pptx-media/728284ddb37d8746.png,png,116306,1990a84f9388c8f4,371,371,1.0,large-icon-or-logo-candidate
123,72b865cb08503d22.png,dist/assets/pptx-media/72b865cb08503d22.png,png,1898,f78cd60f614c0b86,96,96,1.0,icon-candidate
124,7301005f37f21d42.png,dist/assets/pptx-media/7301005f37f21d42.png,png,2356,c632a01cf7bcfd7f,96,96,1.0,icon-candidate
125,73244d313c20ed0b.png,dist/assets/pptx-media/73244d313c20ed0b.png,png,1901,117e094ce403ec05,96,96,1.0,icon-candidate
126,73c341f46b9816ce.png,dist/assets/pptx-media/73c341f46b9816ce.png,png,1493,ad13a0485a27a3ff,96,96,1.0,icon-candidate
127,7423bfddbabf8232.png,dist/assets/pptx-media/7423bfddbabf8232.png,png,35668,7d462b13619898ab,1697,790,2.148,other-candidate
128,744ebf066c8cc432.png,dist/assets/pptx-media/744ebf066c8cc432.png,png,1377,f064708e429d4c9e,96,96,1.0,icon-candidate
129,748861cbc203d394.png,dist/assets/pptx-media/748861cbc203d394.png,png,1894,8686aa096161dbda,96,96,1.0,icon-candidate
130,7546062c7214735f.png,dist/assets/pptx-media/7546062c7214735f.png,png,33204,a29bb3d10a55dcf1,784,784,1.0,large-icon-or-logo-candidate
131,782654115b739b4c.png,dist/assets/pptx-media/782654115b739b4c.png,png,1847,34425b3a5ad42086,96,96,1.0,icon-candidate
132,783f624ca78241ef.png,dist/assets/pptx-media/783f624ca78241ef.png,png,29969,2407da381253f3fb,927,224,4.138,logo-candidate
133,79537a3295e5735a.png,dist/assets/pptx-media/79537a3295e5735a.png,png,2277,69b17c233bed537f,96,96,1.0,icon-candidate
134,7a6471c1e252259a.png,dist/assets/pptx-media/7a6471c1e252259a.png,png,183674,a90942f986914bf4,1920,1080,1.778,other-candidate
135,7abe93b4391fc455.png,dist/assets/pptx-media/7abe93b4391fc455.png,png,35889,e86b64f0575a3266,1187,215,5.521,logo-candidate
136,7b0bdb056d319311.png,dist/assets/pptx-media/7b0bdb056d319311.png,png,99563,e89ba67e89f11ca4,1803,1803,1.0,other-candidate
137,7b3a916b4f85c635.png,dist/assets/pptx-media/7b3a916b4f85c635.png,png,50528,5a944ba74799a825,1023,423,2.418,logo-candidate
